symbol_id_A,unique_protein_id_A,species_A,interactor_B,species_B,cell_line,hour,study,interaction_type
SLC25A21,Q9BQT8,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TUBGCP2,Q9BSJ2,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TARS2,Q9BW92,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RTN4,Q9NQC3,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
FAM8A1,Q9UBU6,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AASS,Q9UDR5,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AKAP8L,Q9ULX6,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AAR2,Q9Y312,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
BZW2,Q9Y6E2,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RRP9,O43818,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PABPC1,P11940,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CSNK2A2,P19784,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CSNK2B,P67870,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
G3BP1,Q13283,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PABPC4,Q13310,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
LARP1,Q6PKG0,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
FAM98A,Q8NCA5,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SNIP1,Q8TAD8,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
UPF1,Q92900,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MOV10,Q9HCE1,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
G3BP2,Q9UN86,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
DDX21,Q9NR30,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RBM28,Q9NW13,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RPL36,Q9Y3U8,Homo sapiens,N,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GOLGA7,Q7Z5G4,Homo sapiens,S,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ZDHHC5,Q9C0B5,Homo sapiens,S,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
POLA1,P09884,Homo sapiens,nsp1,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PRIM1,P49642,Homo sapiens,nsp1,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PRIM2,P49643,Homo sapiens,nsp1,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
POLA2,Q14181,Homo sapiens,nsp1,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
COLGALT1,Q8NBJ5,Homo sapiens,nsp1,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PKP2,Q99959,Homo sapiens,nsp1,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AP2A2,O94973,Homo sapiens,nsp10,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GFER,P55789,Homo sapiens,nsp10,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ERGIC1,Q969X5,Homo sapiens,nsp10,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AP2M1,Q96CW1,Homo sapiens,nsp10,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GRPEL1,Q9HAV7,Homo sapiens,nsp10,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TBCA,O75347,Homo sapiens,nsp11,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SBNO1,A3KN83,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
BCKDK,O14874,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AKAP8,O43823,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MYCBP2,O75592,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SLU7,O95391,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RIPK1,Q13546,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
UBAP2L,Q14157,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TYSND1,Q2T9J0,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PDZD11,Q5EBL8,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PRRC2B,Q5JSZ5,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
UBAP2,Q5T6F2,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ZNF318,Q5VUA4,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CRTC3,Q6UUV7,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
USP54,Q70EL1,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ZC3H7A,Q8IWR0,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
LARP4B,Q92615,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RBM41,Q96IZ5,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TCF12,Q99081,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PPIL3,Q9H2H8,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PLEKHA5,Q9HAU0,Homo sapiens,nsp12,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TBKBP1,A7MCY6,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CIT,O14578,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
HSBP1,O75506,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PCNT,O95613,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CEP43,Q8IYH5,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PRKAR2A,P13861,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PRKACA,P17612,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PRKAR2B,P31323,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RDX,P35241,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CENPF,P49454,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TLE1,Q04724,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TLE3,Q04726,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TLE5,Q8IYH5,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GOLGA3,Q08378,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GOLGA2,Q08379,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GOLGB1,Q14789,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GRIPAP1,Q4V328,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CEP350,Q5VT06,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PDE4DIP,Q5VU43,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CEP135,Q66GS9,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CEP68,Q76N32,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CNTRL,Q7Z7A1,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ERC1,Q8IUD2,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GCC2,Q8IWJ2,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CLIP4,Q8N3C7,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NIN,Q8N4C6,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CEP112,Q8N8E3,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MIPOL1,Q8TD10,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
USP13,Q92995,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GCC1,Q96CN9,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
JAKMIP1,Q96N16,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CDK5RAP2,Q96SN8,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AKAP9,Q99996,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GORASP1,Q9BQQ3,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
FYCO1,Q9BQS8,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
C1orf50,Q9BV19,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CEP250,Q9BV73,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TBK1,Q9UHD2,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
HOOK1,Q9UJC3,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NINL,Q9Y2I6,Homo sapiens,nsp13,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GLA,P06280,Homo sapiens,nsp14,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
IMPDH2,P12268,Homo sapiens,nsp14,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SIRT5,Q9NXA8,Homo sapiens,nsp14,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NUTF2,P61970,Homo sapiens,nsp15,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ARF6,P62330,Homo sapiens,nsp15,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RNF41,Q9H4P4,Homo sapiens,nsp15,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SLC27A2,O14975,Homo sapiens,nsp2,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
EIF4E2,O60573,Homo sapiens,nsp2,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
POR,P16435,Homo sapiens,nsp2,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAP1GDS1,P52306,Homo sapiens,nsp2,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
WASHC4,Q8IYH5,Homo sapiens,nsp2,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
FKBP15,Q5T1M5,Homo sapiens,nsp2,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GIGYF2,Q6Y7W6,Homo sapiens,nsp2,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
IDE,P14735,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TIMM10,P62072,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ALG11,Q2TAA5,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NUP210,Q8TEM1,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TIMM29,Q8IYH5,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
DNAJC11,Q9NVH1,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TIMM10B,Q9Y5J6,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TIMM9,Q9Y5J7,Homo sapiens,nsp4,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
HDAC2,Q92769,Homo sapiens,nsp5,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GPX1,P07203,Homo sapiens,nsp5,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TRMT1,Q9NXH9,Homo sapiens,nsp5,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ATP5MG,Q8IYH5,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ATP6AP1,Q15904,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SIGMAR1,Q99720,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ATP13A3,Q9H7F0,Homo sapiens,nsp6,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AGPS,O00116,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CYB5B,O43169,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ACSL3,O95573,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CYB5R3,P00387,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RALA,P11233,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
COMT,P21964,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB5C,P51148,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB7A,P51149,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB8A,P61006,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB2A,P61019,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB10,P61026,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB14,P61106,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RHOA,P61586,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB1A,P62820,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GNB1,P62873,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GNG5,P63218,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
LMAN2,Q12907,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MOGS,Q13724,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TOR1AIP1,Q5JTV8,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MARCHF1,Q8IYH5,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
QSOX2,Q6ZRP7,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
HS2ST1,Q7LGA3,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NDUFAF2,Q8N183,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SCCPDH,Q8NBX0,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SCARB1,Q8WTV0,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NAT14,Q8WUY8,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
DCAKD,Q8WVC6,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
FAM162A,Q96A26,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
DNAJC19,Q96DA6,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SELENOS,Q8IYH5,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PTGES2,Q9H7Z7,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
RAB18,Q9NP72,Homo sapiens,nsp7,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MPHOSPH10,O00566,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SRP72,O76094,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ATE1,O95260,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NSD2,Q8IYH5,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SRP19,P09132,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SRP54,P61011,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MRPS25,P82663,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
DDX10,Q13206,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
LARP7,Q4G0J3,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MEPCE,Q7L2J0,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NGDN,Q8NEJ9,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
EXOSC8,Q96B26,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NARS2,Q96I59,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
NOL10,Q9BSC4,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CCDC86,Q9H6F5,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SEPSECS,Q9HD40,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
EXOSC5,Q9NQT4,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
EXOSC3,Q9NQT5,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
AATF,Q9NY61,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
HECTD1,Q9ULT8,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MRPS2,Q9Y399,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MRPS5,P82675,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
EXOSC2,Q13868,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
MRPS27,Q92552,Homo sapiens,nsp8,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
